report_year,division,count
2014,D11,5
2014,D13,1
2014,D13,27
2014,D13,5
2014,D13,5
2014,D13,6
2014,D13,85
2014,D13,37
2014,D14,13
2014,D13,19
2014,D13,7
2014,D13,12
2014,D14,4
2014,D13,23
2014,D13,1
2014,D13,5
2014,D13,2
2014,D13,12
2014,D14,8
2014,D14,4
2014,D13,2
2014,D13,2
2014,D13,3
2014,D13,20
2014,D13,6
2014,D14,15
2014,D14,1
2014,D13,29
2014,D13,3
2014,D13,2
2014,D13,9
2014,D13,33
2014,D14,12
2014,D14,2
2014,D13,19
2014,D13,1
2014,D13,3
2014,D14,17
2014,D13,4
2014,D13,15
2014,D13,14
2014,D14,25
2014,D13,3
2014,D13,2
2014,D13,10
2014,D14,6
2014,D14,24
2014,D13,3
2014,D13,1
2014,D13,1
2014,D13,1
2014,D13,17
2014,D14,2
2014,D14,4
2014,D13,3
2014,D13,5
2014,D13,7
2014,D13,12
2014,D13,17
2014,D14,16
2014,D14,44
2014,D13,2
2014,D13,11
2014,D13,3
2014,D13,13
2014,D13,17
2014,D14,6
2014,D14,15
2014,D13,3
2014,D13,4
2014,D13,5
2014,D13,8
2014,D13,3
2014,D14,17
2014,D14,29
2014,D13,6
2014,D13,11
2014,D13,3
2014,D13,15
2014,D13,6
2014,D13,2
2014,D13,3
2014,D13,4
2014,D13,2
2014,D13,1
2014,D13,36
2014,D13,13
2014,D13,11
2014,D13,5
2014,D13,6
2014,D13,1
2014,D13,12
2014,D13,3
2014,D13,2
2014,D13,9
2014,D13,2
2014,D13,13
2014,D13,11
2014,D13,3
2014,D13,14
2014,D13,13
2014,D13,5
2014,D13,13
2014,D13,1
2014,D13,2
2014,D13,7
2014,D13,7
2014,D13,11
2014,D13,2
2014,D13,13
2014,D13,4
2014,D13,10
2014,D13,32
2014,D13,28
2014,D13,25
2014,D13,51
2014,D13,3
2014,D13,7
2014,D12,18
2014,D13,4
2014,D13,35
2014,D13,143
2014,D14,5
2014,D14,19
2014,D12,1
2014,D13,2
2014,D13,2
2014,D13,1
2014,D13,7
2014,D13,3
2014,D13,2
2014,D14,22
2014,D14,34
2014,D14,7
2014,D14,39
2014,D14,12
2014,D14,151
2014,D14,15
2014,D14,10
2014,D14,21
2014,D14,66
2014,D14,1
2014,D14,44
2014,D14,34
2014,D14,51
2014,D14,47
2014,D14,8
2014,D14,8
2014,D14,5
2014,D14,10
2014,D14,3
2014,D14,1
2014,D14,13
2014,D14,8
2014,D14,1
2014,D14,14
2014,D14,9
2014,D13,1
2014,D13,52
2014,D14,1
2014,D13,10
2014,D12,9
2014,D13,99
2014,D14,12
2014,D13,10
2014,D13,14
2014,D12,24
2014,D13,102
2014,D14,20
2014,D13,18
2014,D13,15
2014,D13,11
2014,D13,1
2014,D13,16
2014,D13,7
2014,D13,7
2014,D13,3
2014,D13,12
2014,D13,4
2014,D13,4
2014,D13,21
2014,D13,5
2014,D13,21
2014,D13,13
2014,D13,5
2014,D13,1
2014,D13,5
2014,D13,3
2014,D13,2
2014,D13,1
2014,D13,10
2014,D13,1
2014,D13,2
2014,D13,10
2014,D13,4
2014,D13,5
2014,D13,15
2014,D13,2
2014,D13,1
2014,D13,9
2014,D13,1
2014,D13,2
2014,D13,2
2014,D13,1
2014,D13,5
2014,D13,8
2014,D13,4
2014,D14,10
2014,D12,3
2014,D13,19
2014,D14,14
2014,D14,28
2014,D12,13
2014,D13,33
2014,D13,11
2014,D14,16
2014,D14,27
2014,D12,7
2014,D14,20
2014,D13,3
2014,D13,37
2014,D13,1
2014,D14,19
2014,D14,1
2014,D12,11
2014,D13,138
2014,D13,2
2014,D14,26
2014,D14,28
2014,D12,1
2014,D13,26
2014,D13,5
2014,D14,12
2014,D14,14
2014,D12,2
2014,D13,14
2014,D13,2
2014,D14,1
2014,D14,8
2014,D14,7
2014,D14,17
2014,D14,12
2014,D14,20
2014,D14,16
2014,D14,28
2014,D14,20
2014,D14,21
2014,D14,9
2014,D14,13
2014,D14,20
2014,D14,6
2014,D14,1
2014,D14,9
2014,D14,5
2014,D14,17
2014,D14,5
2014,D14,22
2014,D14,11
2014,D14,1
2014,D14,4
2014,D14,4
2014,D14,8
2014,D14,1
2014,D14,2
2014,D14,6
2014,D14,5
2014,D14,2
2014,D13,131
2014,D14,33
2014,D12,12
2014,D13,113
2014,D13,1
2014,D14,55
2014,D12,8
2014,D13,118
2014,D13,1
2014,D14,88
2014,D12,10
2014,D13,1
2014,D14,1
2014,D13,1
2014,D14,58
2014,D12,6
2014,D13,54
2014,D14,19
2014,D13,29
2014,D12,41
2014,D13,53
2014,D14,77
2014,D13,15
2014,D12,52
2014,D13,17
2014,D14,36
2014,D13,3
2014,D12,2
2014,D13,66
2014,D14,135
2014,D13,33
2014,D12,8
2014,D13,7
2014,D14,46
2014,D13,9
2014,D12,14
2014,D13,4
2014,D14,13
2014,D13,4
2014,D12,26
2014,D13,17
2014,D14,75
2014,D13,8
2014,D12,12
2014,D13,33
2014,D14,100
2014,D13,26
2014,D12,38
2014,D13,15
2014,D14,114
2014,D13,1
2014,D12,9
2014,D13,1
2014,D14,57
2014,D13,5
2014,D12,20
2014,D13,12
2014,D14,80
2014,D13,33
2014,D12,49
2014,D14,98
2014,D13,110
2014,D12,95
2014,D13,21
2014,D13,50
2014,D12,94
2014,D14,3
2014,D13,21
2014,D13,1
2014,D12,12
2014,D14,5
2014,D13,1
2014,D13,37
2014,D12,4
2014,D14,2
2014,D13,62
2014,D13,1
2014,D12,9
2014,D14,11
2014,D13,40
2014,D13,2
2014,D12,1
2014,D14,5
2014,D13,14
2014,D13,29
2014,D12,6
2014,D14,7
2014,D13,68
2014,D13,17
2014,D12,1
2014,D14,4
2014,D13,19
2014,D13,9
2014,D12,7
2014,D14,1
2014,D13,10
2014,D13,23
2014,D12,6
2014,D14,6
2014,D13,20
2014,D13,6
2014,D12,2
2014,D14,3
2014,D13,46
2014,D13,2
2014,D12,6
2014,D12,5
2014,D12,17
2014,D12,1
2014,D12,7
2014,D12,2
2014,D12,1
2014,D12,4
2014,D12,1
2014,D12,2
2014,D12,1
2014,D12,2
2014,D12,8
2014,D12,3
2014,D14,1
2014,D13,26
2014,D14,9
2014,D13,1
2014,D13,10
2014,D14,5
2014,D13,79
2014,D14,11
2014,D13,56
2014,D14,6
2014,D13,36
2014,D14,216
2014,D13,9
2014,D13,2
2014,D13,12
2014,D22,8
2014,D22,22
2014,D22,15
2014,D22,4
2014,D22,60
2014,D22,4
2014,D22,23
2014,D22,7
2014,D22,140
2014,D22,1
2014,D22,10
2014,D22,1
2014,D22,78
2014,D22,20
2014,D22,1
2014,D22,5
2014,D22,3
2014,D22,5
2014,D22,4
2014,D22,13
2014,D22,4
2014,D22,2
2014,D22,2
2014,D22,87
2014,D22,18
2014,D22,5
2014,D22,2
2014,D22,9
2014,D22,9
2014,D22,1
2014,D22,10
2014,D22,3
2014,D22,1
2014,D22,4
2014,D22,33
2014,D22,11
2014,D22,2
2014,D22,4
2014,D22,7
2014,D22,10
2014,D22,20
2014,D22,21
2014,D22,3
2014,D22,10
2014,D22,48
2014,D22,13
2014,D22,28
2014,D22,12
2014,D22,3
2014,D22,9
2014,D22,10
2014,D22,6
2014,D22,23
2014,D22,1
2014,D22,5
2014,D22,28
2014,D22,15
2014,D22,20
2014,D22,65
2014,D22,4
2014,D22,14
2014,D14,120
2014,D22,11
2014,D22,6
2014,D22,27
2014,D22,18
2014,D22,9
2014,D22,8
2014,D22,29
2014,D22,3
2014,D22,9
2014,D22,21
2014,D22,39
2014,D22,3
2014,D22,5
2014,D22,7
2014,D22,9
2014,D22,14
2014,D22,7
2014,D22,2
2014,D22,1
2014,D22,4
2014,D22,2
2014,D22,15
2014,D22,8
2014,D22,3
2014,D22,8
2014,D22,5
2014,D22,5
2014,D22,10
2014,D22,41
2014,D22,1
2014,D22,4
2014,D22,6
2014,D22,2
2014,D22,6
2014,D22,2
2014,D22,17
2014,D22,1
2014,D22,9
2014,D22,35
2014,D14,16
2014,D22,18
2014,D14,5
2014,D14,54
2014,D22,11
2014,D22,16
2014,D22,55
2014,D22,9
2014,D14,20
2014,D22,19
2014,D14,206
2014,D22,8
2014,D14,4
2014,D22,37
2014,D14,86
2014,D22,30
2014,D14,1
2014,D22,89
2014,D22,32
2014,D14,2
2014,D22,3
2014,D22,22
2014,D22,83
2014,D14,1
2014,D22,22
2014,D14,11
2014,D14,4
2014,D22,22
2014,D22,35
2014,D22,6
2014,D14,1
2014,D22,5
2014,D14,8
2014,D14,2
2014,D22,9
2014,D22,5
2014,D22,63
2014,D14,385
2014,D22,11
2014,D14,42
2014,D14,1
2014,D22,32
2014,D22,33
